t,x,y,z,roll_deg,pitch_deg,yaw_deg,F1,F2,F3,F4,servo1,servo2,servo3,servo4,Fhat_x,Fhat_y,Fhat_z,Mhat_x,Mhat_y,Mhat_z,dist_x,dist_y,dist_z,dob_on,arm_j1,arm_j2,arm_j3,arm_j4,x_c
1.002500,0.002178,0.000015,0.276166,-0.003188,0.434295,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815785,4.582705,0.000329,-0.000746,0.096882
1.005000,0.002179,0.000015,0.276165,-0.003189,0.434441,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815796,4.582688,0.000329,-0.000746,0.096882
1.007500,0.002180,0.000015,0.276165,-0.003189,0.434593,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815802,4.582669,0.000329,-0.000746,0.096882
1.010000,0.002180,0.000015,0.276165,-0.003190,0.434750,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815803,4.582647,0.000329,-0.000746,0.096882
1.012500,0.002181,0.000015,0.276165,-0.003191,0.434911,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815801,4.582624,0.000329,-0.000746,0.096882
1.015000,0.002182,0.000015,0.276165,-0.003191,0.435075,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815794,4.582598,0.000329,-0.000746,0.096882
1.017500,0.002183,0.000015,0.276165,-0.003192,0.435244,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815783,4.582570,0.000329,-0.000746,0.096882
1.020000,0.002183,0.000015,0.276165,-0.003193,0.435414,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815768,4.582541,0.000329,-0.000746,0.096882
1.022500,0.002184,0.000015,0.276164,-0.003195,0.435588,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815749,4.582510,0.000329,-0.000746,0.096882
1.025000,0.002185,0.000015,0.276164,-0.003196,0.435762,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815726,4.582477,0.000329,-0.000746,0.096882
1.027500,0.002186,0.000015,0.276164,-0.003197,0.435939,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815700,4.582443,0.000329,-0.000747,0.096882
1.030000,0.002187,0.000015,0.276164,-0.003198,0.436116,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815671,4.582408,0.000329,-0.000747,0.096882
1.032500,0.002187,0.000015,0.276164,-0.003200,0.436293,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815638,4.582371,0.000329,-0.000747,0.096882
1.035000,0.002188,0.000015,0.276164,-0.003201,0.436471,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815602,4.582333,0.000329,-0.000747,0.096882
1.037500,0.002189,0.000015,0.276163,-0.003202,0.436648,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815564,4.582295,0.000329,-0.000747,0.096882
1.040000,0.002190,0.000015,0.276163,-0.003204,0.436824,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815523,4.582256,0.000329,-0.000747,0.096882
1.042500,0.002191,0.000015,0.276163,-0.003205,0.436998,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815479,4.582216,0.000329,-0.000747,0.096882
1.045000,0.002191,0.000015,0.276163,-0.003207,0.437171,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815433,4.582175,0.000329,-0.000747,0.096882
1.047500,0.002192,0.000015,0.276163,-0.003208,0.437342,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815385,4.582134,0.000329,-0.000748,0.096882
1.050000,0.002193,0.000015,0.276163,-0.003210,0.437510,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815335,4.582093,0.000329,-0.000748,0.096882
1.052500,0.002194,0.000015,0.276162,-0.003211,0.437676,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815283,4.582051,0.000329,-0.000748,0.096882
1.055000,0.002195,0.000015,0.276162,-0.003213,0.437838,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815229,4.582009,0.000329,-0.000748,0.096882
1.057500,0.002195,0.000015,0.276162,-0.003214,0.437997,0.000910,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.815174,4.581968,0.000329,-0.000748,0.096882
